,States_UTs,Domestic,Commercial,Industrial_LV,Industrial_HV,Public_Light,Traction,Agriculture,Public_Water,Miscellaneous,Total
0,Andaman and Nicobar Islands,99947.0,17231.0,534.0,0.0,627.0,0.0,0.0,255.0,1149.0,119743.0
1,Andhra Pradesh,13190009.0,1154892.0,172273.0,6087.0,107523.0,53.0,1464935.0,63392.0,71302.0,16230466.0
2,Arunachal Pradesh,144925.0,18769.0,255.0,7.0,1894.0,0.0,0.0,24663.0,24758.0,215271.0
3,Assam,3017671.0,211325.0,12896.0,3955.0,1380.0,0.0,13468.0,4012.0,36884.0,3301591.0
4,Bihar,3773077.0,279879.0,18816.0,1317.0,399.0,17.0,57838.0,1098.0,1.0,4132442.0
5,Chhattisgarh,3557748.0,277639.0,31157.0,1547.0,5061.0,21.0,406503.0,14898.0,32.0,4294606.0
6,Dadra and Nagar Haveli,38970.0,21209.0,319.0,2888.0,310.0,0.0,1179.0,307.0,0.0,65182.0
7,Daman and Diu,45298.0,8037.0,1755.0,785.0,524.0,0.0,1195.0,109.0,1.0,57704.0
8,Delhi,4111353.0,857933.0,52717.0,20.0,15680.0,11.0,9165.0,4831.0,6139.0,5057849.0
9,Goa,491845.0,89081.0,7252.0,580.0,2740.0,0.0,11186.0,779.0,180.0,603643.0
10,Gujarat,12102062.0,1665700.0,413018.0,13251.0,35016.0,28.0,1180104.0,66128.0,1940.0,15477247.0
11,Haryana,4266675.0,547395.0,85029.0,11858.0,2072.0,597.0,603943.0,19369.0,25267.0,5562205.0
12,Himachal Pradesh,1850828.0,244969.0,30201.0,4952.0,1117.0,0.0,36890.0,0.0,31013.0,2199970.0
13,Jammu and Kashmir,1346021.0,174504.0,19368.0,721.0,259.0,0.0,18877.0,2331.0,10734.0,1572815.0
14,Jharkhand,2473327.0,159101.0,13297.0,1600.0,539.0,21.0,38896.0,427.0,0.0,2687208.0
15,Karnataka,15317302.0,1767116.0,375316.0,22663.0,125215.0,192.0,2284874.0,140000.0,1015252.0,21047930.0
16,Kerala,9020807.0,1850588.0,142577.0,1827.0,4270.0,8.0,461333.0,0.0,1119.0,11482529.0
17,Lakshadweep,18113.0,3298.0,328.0,0.0,77.0,0.0,0.0,0.0,0.0,21816.0
18,Madhya Pradesh,8620743.0,829451.0,115347.0,3597.0,15661.0,38.0,2001930.0,33696.0,31648.0,11652111.0
19,Maharashtra,20230903.0,2337253.0,445231.0,13208.0,85712.0,52.0,3812991.0,49313.0,81472.0,27056135.0
20,Manipur,242562.0,12100.0,10272.0,104.0,469.0,0.0,63.0,170.0,704.0,266444.0
21,Meghalaya,268974.0,22227.0,821.0,148.0,59.0,0.0,24.0,386.0,67068.0,359707.0
22,Odisha,5397639.0,308250.0,23850.0,1590.0,1987.0,30.0,53702.0,7697.0,31015.0,5825760.0
23,Puducherry,286505.0,46938.0,6258.0,520.0,47382.0,0.0,6836.0,110.0,35539.0,430088.0
24,Punjab,6006790.0,967714.0,102634.0,9928.0,3664.0,8.0,1235722.0,13462.0,520.0,8340442.0
25,Rajasthan,9402529.0,1158180.0,242981.0,7534.0,16500.0,3.0,1249201.0,56067.0,37514.0,12170509.0
26,Sikkim,81508.0,9663.0,721.0,0.0,796.0,0.0,0.0,0.0,415.0,93103.0
27,Tamil Nadu,18843735.0,2793649.0,584027.0,7830.0,418991.0,10.0,2046317.0,235140.0,1539737.0,26469436.0
28,Telangana,9013895.0,1092022.0,95179.0,6575.0,64138.0,15.0,1985781.0,45777.0,64076.0,12367458.0
29,Uttar Pradesh,13804128.0,1296589.0,187218.0,13632.0,7515.0,24.0,984209.0,14357.0,175762.0,16483434.0
30,Uttarakhand,1649404.0,191886.0,9303.0,1827.0,697.0,1.0,28652.0,1214.0,7708.0,1890692.0
31,West Bengal,16004404.0,1637600.0,156874.0,3931.0,25787.0,60.0,241254.0,8782.0,4320.0,18083012.0
