,States_UTs,Domestic,Commercial,Industrial_LV,Industrial_HV,Public_Light,Traction,Agriculture,Public_Water,Miscellaneous,Total
0,Andaman & Nicobar Islands,118628.0,19578.0,468.0,0.0,807.0,0.0,481.0,0.0,1776.0,141738.0
1,Andhra Pradesh,15316931.0,1614784.0,116939.0,6475.0,112267.0,55.0,1809051.0,64658.0,274098.0,19315258.0
2,Arunachal Pradesh,204945.0,27135.0,260.0,43.0,1816.0,0.0,18.0,85.0,96.0,234398.0
3,Assam,5501765.0,282682.0,18874.0,4514.0,1955.0,0.0,33340.0,4679.0,53770.0,5901579.0
4,Bihar,15348575.0,1074728.0,124277.0,3082.0,2844.0,7.0,362852.0,40877.0,15991.0,16973233.0
5,Chandigarh,220229.0,28610.0,2765.0,107.0,1364.0,0.0,120.0,129.0,1089.0,254413.0
6,Chhattisgarh,4867997.0,374024.0,36029.0,2013.0,8590.0,25.0,585687.0,32324.0,0.0,5906689.0
7,Dadra & Nagar Haveli,69304.0,8061.0,2191.0,916.0,411.0,0.0,1286.0,460.0,334.0,82963.0
8,Daman & Diu,50815.0,7479.0,1819.0,719.0,631.0,0.0,1284.0,102.0,555.0,63404.0
9,Delhi,5324697.0,988200.0,42699.0,612.0,15581.0,5.0,10297.0,6592.0,23789.0,6412472.0
10,Goa,532392.0,99753.0,6167.0,849.0,215.0,0.0,11972.0,0.0,5258.0,656606.0
11,Gujarat,14090540.0,2240650.0,420986.0,19399.0,22547.0,16.0,1858943.0,100515.0,67677.0,18821273.0
12,Haryana,5584892.0,713739.0,96440.0,16948.0,4014.0,104.0,650384.0,22395.0,1563.0,7090479.0
13,Himachal Pradesh,2151857.0,295072.0,30355.0,3923.0,1172.0,0.0,36064.0,7756.0,48162.0,2574361.0
14,Jammu & Kashmir1,1817682.0,233831.0,20324.0,852.0,321.0,0.0,22237.0,2804.0,12251.0,2110302.0
15,Jharkhand,3839235.0,251496.0,17453.0,2424.0,791.0,5.0,61959.0,0.0,75.0,4173438.0
16,Karnataka,20044767.0,2405051.0,494483.0,20268.0,164550.0,183.0,3171152.0,230059.0,1179704.0,27710217.0
17,Kerala,9917139.0,2303024.0,141778.0,2569.0,41508.0,20.0,476552.0,11.0,2298.0,12884899.0
18,Lakshadweep,20253.0,4604.0,353.0,0.0,76.0,0.0,0.0,0.0,143.0,25429.0
19,Madhya Pradesh,12131005.0,1128417.0,133670.0,5901.0,21358.0,12.0,3265844.0,48385.0,2131.0,16736723.0
20,Maharashtra,24788250.0,2793990.0,466917.0,15188.0,102056.0,110.0,4341657.0,57192.0,167053.0,32732413.0
21,Manipur,488527.0,27374.0,2897.0,105.0,989.0,0.0,66.0,211.0,760.0,520929.0
22,Meghalaya,563089.0,28932.0,700.0,137.0,60.0,0.0,28.0,453.0,2615.0,596014.0
23,Mizoram,223698.0,18989.0,1034.0,196.0,1244.0,0.0,0.0,79.0,20055.0,265295.0
24,Nagaland,279467.0,23081.0,4918.0,0.0,645.0,0.0,1.0,39.0,2040.0,310191.0
25,Odisha,8771146.0,414770.0,25762.0,1968.0,7929.0,41.0,136371.0,12435.0,56064.0,9426486.0
26,Puducherry,370844.0,58240.0,6883.0,568.0,52919.0,0.0,7012.0,154.0,35542.0,532162.0
27,Punjab,7229184.0,1146364.0,118672.0,12945.0,4781.0,0.0,1387681.0,15282.0,587.0,9915496.0
28,Rajasthan,11967053.0,1164965.0,159815.0,29473.0,20733.0,0.0,1599092.0,64644.0,190324.0,15196099.0
29,Sikkim,101673.0,11827.0,385.0,774.0,30.0,0.0,0.0,0.0,1819.0,116508.0
30,Tamil Nadu,23741879.0,3635969.0,737717.0,6770.0,760970.0,36.0,2181365.0,0.0,573763.0,31638469.0
31,Telangana,11900975.0,1495918.0,108075.0,7882.0,118816.0,46.0,2526252.0,74799.0,81701.0,16314464.0
32,Tripura,832221.0,74568.0,4676.0,1140.0,2674.0,0.0,7268.0,7271.0,2897.0,932715.0
33,Uttar Pradesh,26467750.0,1623408.0,176251.0,13203.0,4680.0,10.0,1330329.0,23168.0,215792.0,29854591.0
34,Uttarakhand,2215712.0,263916.0,12106.0,2190.0,2346.0,2.0,39364.0,1966.0,82.0,2537684.0
35,West Bengal,21214061.0,2337635.0,177532.0,4755.0,49185.0,83.0,337006.0,31470.0,4924.0,24156651.0
